2.793205261230468750e+01,2.618193054199218750e+01,2.523744201660156250e+01,3.397676086425781250e+01,2.645267295837402344e+01,2.716671371459960938e+01,2.528831863403320312e+01,3.117408370971679688e+01,2.830025100708007812e+01,2.093644142150878906e+01
2.523950576782226562e+01,2.299231338500976562e+01,2.236383056640625000e+01,3.102683258056640625e+01,2.372359275817871094e+01,2.430506515502929688e+01,2.276311492919921875e+01,2.832399177551269531e+01,2.555172920227050781e+01,1.705012893676757812e+01
2.954223442077636719e+01,2.727581596374511719e+01,2.652254486083984375e+01,3.624673080444335938e+01,2.819812774658203125e+01,2.866960144042968750e+01,2.696796226501464844e+01,3.302719116210937500e+01,3.038265800476074219e+01,2.034264373779296875e+01
2.763083267211914062e+01,2.547616004943847656e+01,2.468399620056152344e+01,3.373592376708984375e+01,2.638984489440917969e+01,2.673380088806152344e+01,2.526845550537109375e+01,3.126346015930175781e+01,2.873846054077148438e+01,1.935109519958496094e+01
2.986586189270019531e+01,2.780792236328125000e+01,2.671613121032714844e+01,3.601008224487304688e+01,2.815776252746582031e+01,2.880764389038085938e+01,2.690695571899414062e+01,3.314564895629882812e+01,2.997535514831542969e+01,2.209965324401855469e+01
3.146278762817382812e+01,3.125007629394531250e+01,2.884089088439941406e+01,3.868720626831054688e+01,3.030171394348144531e+01,3.081624221801757812e+01,2.771661949157714844e+01,3.320787811279296875e+01,3.265242004394531250e+01,2.428437995910644531e+01
2.558353805541992188e+01,2.342224693298339844e+01,2.273671340942382812e+01,3.123282623291015625e+01,2.405401992797851562e+01,2.485431861877441406e+01,2.312759971618652344e+01,2.881601715087890625e+01,2.585598945617675781e+01,1.728609085083007812e+01
4.058760833740234375e+01,3.699508285522460938e+01,3.563048934936523438e+01,5.086758804321289062e+01,3.971219635009765625e+01,3.821536254882812500e+01,3.796839523315429688e+01,4.519994735717773438e+01,4.371347045898437500e+01,2.522318077087402344e+01
3.955280303955078125e+01,3.804903793334960938e+01,3.701192855834960938e+01,4.979233169555664062e+01,4.072714996337890625e+01,3.940726470947265625e+01,3.806236648559570312e+01,4.646292877197265625e+01,4.358297348022460938e+01,2.759458541870117188e+01
3.447407531738281250e+01,3.448944854736328125e+01,3.267032241821289062e+01,4.186448669433593750e+01,3.488738250732421875e+01,3.441821289062500000e+01,3.329405212402343750e+01,4.017762756347656250e+01,3.712710189819335938e+01,2.814348220825195312e+01
4.053471374511718750e+01,3.509038543701171875e+01,3.631220245361328125e+01,4.992130279541015625e+01,3.942029571533203125e+01,3.846981048583984375e+01,3.775779724121093750e+01,4.666984176635742188e+01,4.325989532470703125e+01,3.888499069213867188e+01
3.132471466064453125e+01,2.684665298461914062e+01,2.890890121459960938e+01,4.105157470703125000e+01,3.385776519775390625e+01,3.089402389526367188e+01,3.232281112670898438e+01,3.702078628540039062e+01,3.686537170410156250e+01,3.848873519897460938e+01
2.189294624328613281e+01,1.675453186035156250e+01,1.850647926330566406e+01,2.812091255187988281e+01,2.156576156616210938e+01,2.048608970642089844e+01,2.055498504638671875e+01,2.806143951416015625e+01,2.399396514892578125e+01,2.537884902954101562e+01
3.943536758422851562e+01,4.697599792480468750e+01,3.479622268676757812e+01,5.331693267822265625e+01,4.249736785888671875e+01,3.867623519897460938e+01,4.102850341796875000e+01,5.034695434570312500e+01,4.717325210571289062e+01,4.558489990234375000e+01
3.369703674316406250e+01,2.728810119628906250e+01,2.881674575805664062e+01,4.169488906860351562e+01,3.251817321777343750e+01,3.125578308105468750e+01,3.132045364379882812e+01,4.146660232543945312e+01,3.586842346191406250e+01,3.229489135742187500e+01
